name,image_url,description,cuisine,course,diet,ingredients,instructions,calories,carbs,protein,fiber
Mini Onion Vada With Vengaya Sambar Recipe - Pan Fried Fritters in Tangy Lentil Curry,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Preethi_Kitchen_Appliances_Mini_Vada_Sambar_Recipe_-1.jpg,"The Onion Vada Sambar Recipe is a simple healthy and nutritious recipe of the urad dal vada that is pan fried in a paniyaram pan.  In this recipe, I have made the Vada’s healthy by using the Kuzhi Paniyaram pan as opposed to the traditional method of deep frying the vada's.",Tamil Nadu,South Indian Breakfast,Vegetarian,"
Ingredients to make the Onion Medu Vada

							 		1 cup White Urad Dal (Whole)							 		, (soaked for 3 hours)							 	

							 		1 inch Ginger 

							 		1 Green Chillies							 		, chopped							 	

Salt							 		, to taste							 	

							 		2 Onions							 		, finely chopped							 	

							 		1/4 Coriander (Dhania) Leaves							 		, finely chopped							 	

Oil							 		, for pan frying							 	
Ingredients for Vengaya Sambar

							 		1 cup Arhar dal (Split Toor Dal) 

							 		1/2 cup Pearl onions (Sambar Onions) 

							 		1 Mooli/ Mullangi (Radish)							 		, chopped							 	

							 		1 Carrot (Gajjar)							 		, chopped							 	

							 		1-1/2 cups Tamarind Water 

							 		2 teaspoons Sambar Powder 

Salt							 		, to taste							 	

Coriander (Dhania) Leaves							 		, a small bunch chopped							 	
For Seasoning of Sambar

							 		1 teaspoon Gingelly oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		2 Dry Red Chillies 

							 		1 sprig Curry leaves 

							 		1/4 teaspoon Asafoetida (hing) 
","To begin making the Onion Vada Sambar Recipe;  we will first soak the dal for about 3 hours.Using a strainer, strain all the excess water from the urad dal. We need to use very little water to grind the urad dal, so that you can shape them well if you are deep frying.Next we will grind the dal, along with ginger and green chillies using a food processor or a mixer grinder into a very smooth batter. Make sure add very little water while grinding the dal to make a smooth batter. Transfer the batter to a bowl. Add in the chopped onions, coriander leaves into the batter. Stir well to combine the ingredients well into the vada batter.Next we will preheat the Kuzhi Paniyaram Pan and add in a little oil into each cavity; once the pan is well heated spoon the mini onion vada mixture into each of the cavities. Cover the pan and allow it to steam until you notice that the top looks cooked. After a couple minutes of steaming of notice the top part of the mini onion vada looks cooked. At this point you could add a little more oil and then flip the vada so it can get cooked and crisp from both sides. This time, allow it to cook without the cover. Transfer the Mini Onion Vadas to a platter and continue the same process with the remaining batter.To make the Vengaya Sambar recipe, pressure cook the toor dal along with 2 cups of water for 3 to 4 whistles and turn off the heat. Once the pressure releases naturally, open the cooking and mash the toor dal until soft. Keep aside.Into a pressure cooker; add the tamarind water, onions, radish, carrot, sambar powder and salt. Pressure cook for 2 whistles and turn off the heat.Add the cooker toor dal into the sambar water and bring to a brisk boil. Adjust the consistency by adding a little water if required.In a small tadka pan, heat oil over medium heat. Add mustard seeds and red chillies and allow it to crackle. Stir in the asafoetida and curry leaves. Pour this over the simmering vengaya sambar. Check the salt and spices of the vengaya sambar and adjust to suit your taste. Once done, turn off the heat , stir in the chopped coriander leaves and serve. To serve the Onion Vada Sambar, place the vadas in a bowl or a platter, pour in some Vengaya Sambar and sprinkle some chopped onions and serve hot.",887,171.6178013,54.07426,30.38595
Carrots & Sweet Potato Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Carrot__Sweet_Potato_Paratha_Recipe.jpg,"Carrots and Sweet Potato Stuffed Parathas are a whole wheat Indian flat bread stuffed with finely grated carrots and boiled sweet potatoes are spiced up with green chillies, coriander leaves and cumin powder, makes this paratha healthy and delicious. This is a favorite lunch box for my children, they love to have it along with honey. And not to miss it is wholesome and nutritious too.",North Indian Recipes,Indian Breakfast,Vegetarian,"
Ingredients for dough

							 		2 cups Whole Wheat Flour 

							 		1/2 teaspoon Salt 

							 		1 teaspoon Oil 
Ingredients for stuffing

							 		1 cup Carrots (Gajjar)							 		, finely grated							 	

							 		1/2 cup Sweet Potatoes							 		, boiled and mashed							 	

							 		1 teaspoon Cumin powder (Jeera)							 		, (roasted)							 	

							 		1 Green Chillies							 		, chopped (adjust)							 	

							 		1/4 cup Coriander (Dhania) Leaves							 		, chopped							 	

Salt							 		, to taste							 	
","To begin making the sweet potato parathas, we will first make the dough. Add flour and salt in a large bowl, adding little water at a time to make soft, pliable dough.Knead dough until it is smooth and elastic. Add oil to coat the dough and knead little more. The dough will be soft and nonsticky. Allow the dough to rest for about 15 minutes, covered.Knead dough until it is smooth and elastic. Add oil to coat the dough and knead little more. The dough will be soft and nonsticky. Allow the dough to rest for about 15 minutes, covered.Divide the dough into lemon sized balls and roll them out thin to approximately 3 inches in diameter. Note tossing the dough in dry flour while rolling will prevent it from getting sticky when rolling them out.In another bowl, combine all the ingredients for the filling together. Check the salt and spices and adjust to suit your taste.Add 1 tablespoon of the stuffing in the center. Gather the sides and bring them together. Remove the little excess dough which popped out when you brought them together.Press the stuffed dough down. Toss it in some flour and roll it gently applying just even pressure to roll. Roll it to desired thickness and your comfort level in rolling.Place the stuffed sweet potato carrot parathas on the hot griddle/skillet. Cook on medium heat adding a little oil or ghee to cook the parathas until you notice it gets brown spots on both the sides and has lightly crisp outer crust.Serve Carrots & Sweet Potato Stuffed Paratha Recipe along with Boondi Raita Recipe Spiced With Black Salt, Instant Gor Kairi Lonche Recipe - Sweet Raw Mango Pickle and Apple, Kiwi, Pineapple Juice Recipe for a complete breakfast.",141,29.5517,4.79785,11.2705
Vegetable Rava Upma Recipe  - Sooji Upma Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Vegetable_Rava_Upma_Sooji_Upma_Recipe_Video_6_1600.jpg,Vegetable Rava Upma is a traditional south Indian breakfast dish that is made from semolina and cooked along with vegetables and seasonings. This dish is popularly called as Khara Bath in Karnataka. At home we love to serve it along with a hot cup of freshly brewed filter coffee to make a complete breakfast with some fresh fruits on the side.,South Indian Recipes,South Indian Breakfast,Vegetarian,"

							 		1 cup Sooji (Semolina/ Rava) 

							 		1 Onion							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		2 Green Chillies							 		, finely chopped							 	

							 		1 sprig Curry leaves							 		, finely chopped							 	

							 		1 Carrot (Gajjar)							 		, finely chopped							 	

							 		1/2 cup Green beans (French Beans)							 		, finely chopped							 	

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1/4 teaspoon Asafoetida (hing) 

							 		1 teaspoon Oil							 		, for cooking							 	

							 		3 tablespoons Ghee 

							 		1 Lemon							 		, juice extracted							 	

							 		1/2 teaspoon Sugar 

Salt							 		, to taste							 	
","To begin making the Vegetable Rava Upma Recipe/ Sooji Upma, prep all the ingredients and keep aside.In a saucepan; boil 3 cups of water along with salt and a dash of sugar and set aside. Add the vegetables to this water and cook it until the sooji/rava gets roasted.Heat oil in heavy bottomed pan on medium heat; add mustard seeds, half urad dal seeds and allow it to crackle and the dal to turn golden brown and crisp.Stir in the onions, ginger, asafoetida, curry leaves and green chilies and sauté until onions are tender.Stir in the semolina and roast along with the onion mixture until you get the light roasted aroma.Gradually pour the hot water into the above mixture and continue to stir in the process. Turn the heat to low, cover the pan and allow the Rava Upma to cook and steam in the heat.Keep stirring occasionally to avoid lumps. This will take about 10 minutes.Finally stir in the ghee and lemon juice and sauté for a couple of minutes on low heat until all the ingredients are well combined. The ghee enhances the flavour of the Rava Upma/ Sooji Upma.Serve Vegetable Rava Upma Recipe along with Coconut Chutney and South Indian Filter Coffee Recipe With Filter Coffee Powder for a complete south Indian Breakfast.",176,41.6547,6.05015,8.7014
Rajma and Horse Gram Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Rajma_and_Horse_gram_Stuffed_Paratha_Recipe.jpg,"Rajma and Horse gram Stuffed Paratha Recipe is a diabetic friendly dish for all those who are seeking to eat a healthy stuffed paratha. Both the lentils are a key ingredient to be a part in one’s diet as it contains good amount of nutrients like proteins, carbs and fiber. They are soaked and cooked together and then mixed with some Indian spice and stuffed into a whole wheat paratha. This paratha will fill you just like that without any other accompaniments except for a bowl of curd.",Punjabi,North Indian Breakfast,Diabetic Friendly,"
For the stuffing

							 		1 cup Rajma (Large Kidney Beans)							 		, soaked for 8 hours							 	

							 		1/2 cup Horse Gram Dal (Kollu/ Kulith)							 		, soaked for 8 hours							 	

							 		1 Onion							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		2 teaspoon Red Chilli powder 

							 		1 teaspoon Amchur (Dry Mango Powder) 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Black pepper powder 

Salt							 		, to taste							 	
For the dough

							 		1 cup Whole Wheat Flour 

							 		2 tablespoon Oil 

Water							 		, to knead 							 	
","To begin making the Rajma and Horse gram Stuffed Paratha Recipe into a bowl add the wheat flour, cooking oil and add water slowly and knead it into a firm and non-sticky dough. Cover and  keep aside.Pressure cook the soaked lentils in the pressure cooker with 1 cup water for about 4 whistle. After 4 whistles reduce the heat and cook for 5 more minute and switch it off. Release the pressure naturally and the drain all the water.Allow the lentils to cool  down and then grind the cooked lentils into a coarse mixture and keep it aside.Now to make the stuffing, heat a sauce pan, crackle the cumin seeds and sauté the onions till translucent. Once done add the coarsely ground lentils along with spice powders and mix well. Cook for another 10 minutes.Now to begin making the paratha, keep some flour aside for dusting. Divide the dough into large lemon side balls.Dust the dough portions in flour, flatten it and roll it into a 3 inch diameter circle.Now add the Rajma and horsegram stuffing, add about a tablespoon in the center. Close the paratha by folding it from all the side like a dumpling and seal it properly. Dust the stuffed paratha ball in flour and roll into 5 inch diameter parathas. Take care, the filling can ooze out if the dough is rolled out too thin.Now to cook Rajma and Horse gram Stuffed Paratha, first preheat the skillet on medium heat. Place the rolled paratha on top and allow it to cook on one side. After about 30 seconds, flip the paratha.At this stage, smear some oil or ghee to cook the paratha. Cook the paratha by flipping over a couple of times until you see golden brown spots on both sides.Proceed the same way with the remaining dough portions and serve the parathas hot.Serve the Rajma and Horse gram Stuffed Paratha Recipe along with a cup of Tomato Onion Cucumber Raita Recipe and Masala Chai Recipe - Indian Spiced Tea to make it a complete meal for your Sunday breakfast.",424,98.964,12.2462,18.4827
Nutty Aloo Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/6-march/Nutty_Aloo_Stuffed_Palak_Paratha_Recipe-1.jpg,Nutty Aloo Paratha Recipe is a wonderful twist to the regular aloo paratha recipe and is a sure-shot crowd pleaser. This recipe includes chopped nuts and raisins along with the classic spiced aloo filling.,North Indian Recipes,North Indian Breakfast,Vegetarian,"

							 		1 cup Whole Wheat Flour 

							 		1 cup Spinach Leaves (Palak)							 		, pureed							 	

Water							 		, as required to make pliable dough							 	
For The Filling

							 		3 Potatoes (Aloo)							 		, boiled and mashed							 	

							 		1/2 cup Paneer (Homemade Cottage Cheese)							 		, crumbled/grated							 	

							 		1 tablespoon Coriander (Dhania) Leaves 

							 		1/2 teaspoon Garam masala powder 

Salt							 		, to taste							 	

							 		1/2 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Red Chilli powder							 		, or 2 chopped green chillies							 	

							 		1-1/2 tablespoon Mixed nuts							 		, chopped							 	

							 		1 tablespoon Sultana Raisins 

Ghee							 		, to smear							 	
","To begin making Nutty Aloo Paratha Recipe,first knead the dough and keep it aside.In a Mixing bowl, bring together wheat flour, water, and spinach puree (if using) to a soft pliable dough by kneading well. Few drops of ghee or oil can be added if required.",184,16.3950125,15.2268125,3.8886125
Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Kerala_Kadala_Curry_recipe_Chickpea_in_Coconut_Curry_Vegetarian_healthy_recipe_1_1600.jpg,"Kerala Kadala Curry Recipe is a delectable recipe that is a popular dish from the Kerala Cuisine. Kadala in this dish means chickpeas and most popularly the kala chana or the brown chickpea is used to make this dish. The coconut is ground along with fennel and coriander seeds and then cooked along in a gravy that has flavours coming from baby onions, green chillies and curry leaves along with the addition of cooking it in coconut oil.",Kerala Recipes,South Indian Breakfast,High Protein Vegetarian,"
Ingredients for the Curry

							 		1 cup Kala Chana (Brown Chickpeas)							 		, soaked overnight and cooked							 	

							 		1 tablespoon Coconut Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		2 sprig Curry leaves							 		, finely chopped							 	

							 		2 Green Chillies							 		, slit							 	

							 		15 Pearl onions (Sambar Onions)							 		, finely chopped							 	

							 		5 cloves Garlic							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		1/2 cup Homemade tomato puree 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Red Chilli powder 

Salt							 		, to taste							 	
Ingredients to be ground to paste

							 		1 cup Fresh coconut 

							 		2 tablespoons Coriander (Dhania) Seeds 

							 		1 teaspoon Fennel seeds (Saunf) 
","To begin making the Kerala Kadala Curry Recipe, soak chickpeas overnight or for at least 8 hours.Place the soaked chickpeas in the pressure cooker along with a little salt and 2-1/2 cups of water and cook until for 4 to 5 whistles. After 5 whistles, turn the heat to low and simmer for 20 minutes and turn the off the heat.Allow the pressure to release naturally. Ensure the kadal is completely cooked and has a soft bite. If not cook it for a longer time. Next to make the coconut paste, into a mixer grinder jar, add the coconut, fennel seeds and coriander seeds. Add 1/2 cup of warm water and blend to make a smooth paste. Heat oil in a heavy bottomed pan over medium heat.Add the mustard seeds and allow it to crackle. Once it crackles, add the onion, garlic, ginger and green chillies and saute until the onion is soft and translucent. Add the curry leaves and saute for a few seconds. Stir in the tomato puree, turmeric powder, red chilli powder and the coconut puree and give the curry mixture a stir.Finally add the cooked chickpeas, a little salt to taste and bring the Kadala Curry to a boil.Add a cup of water, give the Kadala Curry a stir and turn the heat to low. Simmer the Kadala Curry for a good 15 minutes until all the masala is well absorbed to make a delicious taste Kadala Curry.Give it a taste and adjust the salt and chilli accordingly. Turn off the heat and transfer the Kerala Kadala Curry to a serving bowl and serve hot.Serve the Kerala Kadala Curry along with Puttu for a delicious breakfast, lunch or dinner or even make it for the festival of Onam.",686,100.6904938,16.0273975,30.6829
Tofu Bhurji Recipe - Spicy Scrambled Tofu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Tofu_Bhurji_Recipe.jpg,"Tofu Bhurji Recipe is a vegan version of egg bhurji that you can try at home. Tofu is crumbled and the added to the sautéed bell peppers, onions and tomatoes.",North Indian Recipes,North Indian Breakfast,Vegan,"

							 		300 grams Tofu							 		, crumbled							 	

							 		1 Onion							 		, chopped							 	

							 		1 Red Bell pepper (Capsicum) 

							 		1 Tomato							 		, chopped							 	

							 		1 Green Chilli							 		, chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		2 teaspoon Red Chilli powder 

							 		1 teaspoon Black pepper powder 

							 		1 teaspoon Turmeric powder (Haldi) 

							 		4 sprig Coriander (Dhania) Leaves							 		, chopped							 	

Salt							 		, to taste							 	

Oil 
","To begin making the Tofu Bhurji Recipe, firstly crumble the tofu and keep it aside.Heat a tablespoon of butter in a heavy bottomed pan; add the cumin seeds, onion, capsicum, green chillies and ginger. Saute the onions and capsicum on low to medium heat until they are soft and tender.Once the onions and capsicum are soft, add the tomatoes, turmeric powder, red chilli powder and give it a good stir.Finally, stir in the crumbled tofu and salt to taste. Stir well, check the salt and spice levels and adjust to suit your taste.Serve the Tofu Bhurji Recipe along with a Toasted Bread or just plain Indian bread like Phulka and a Dal of your choice like Panchmel Dal, Palak Dal etc to enjoy your dinner.",331,30.6086,30.8419,7.9156
Aloo Raswala Sabzi Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Curryandvanilla/Aloo_Raswala_Sabzi_Recipe_-2_1600.jpg,"Aloo Raswala Sabzi Recipe is a tangy, and spicy potato curry and served best along with puris. Soft boiled potatoes simmered in a tomato-onion base, thinned down to a gravy - called 'ras'. ",North Indian Recipes,North Indian Breakfast,Vegetarian,"

							 		1 tablespoon Oil 

							 		1/4 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 pinch Asafoetida (hing) 

							 		1 Onion							 		, finely chopped							 	

							 		4 cloves Garlic							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		1 Green Chillies							 		, chopped							 	

							 		2 Tomatoes							 		, chopped							 	

							 		4 Potatoes (Aloo) 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Garam masala powder							 		, (Or kitchen king masala)							 	

Red Chilli powder 

Salt							 		, to taste							 	

Coriander (Dhania) Leaves							 		, to garnish							 	
","To begin making the Aloo Raswala Sabzi Recipe, we will first boil the potatoes. Place the potatoes in a pressure cooker along with some water and pressure cook for about 5-6 whistles. Turn off the pressure cooker and allow the pressure to release naturally. Remove the potatoes from the cooker, peel and cut them into medium sized cubes and set aside. Heat oil in a pan on medium flame, add cumin seeds and methi seeds. Once the seeds begin to sizzle, add in the onion, ginger and garlic and saute until the onions become soft and tender.Stir in green chillies, asafoetida and stir fry for a few seconds. Once the onions have softened, add in the tomatoes and mix well.Add turmeric powder and red chilli powder. Continue to cook until the tomatoes are mushy and softened.Sprinkle garam masala powder, add cooked potatoes, salt to taste and just enough water to the consistency of your choice and bring to the Aloo Raswala Sabzi to a brisk boil. Adjust water such that the consistency is neither too thick or too thin. Reduce heat and simmer the Aloo Raswala Sabzi for about 10 minutes till it form a masaledar gravy. Once done, check the salt and spices and adjust to suit your taste and turn off the heat.Transfer the Aloo Raswala Sabzi to a serving bowl and serve hot.Serve Aloo Raswala Sabzi Recipe along with Chunni Ki Puri Recipe- Moong Dal And Besan Fried Puri Recipe and Sago Kheer Recipe - Tapioca Milk Pudding for a simple Sunday brunch.",777,173.7604,22.9822,23.8742
Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Karnataka_Style_Sabsige_Soppu_Akki_Rotti_Dill_leaves_and_flattened_Rice_Bread_Recipe.jpg,Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe) is a variation to Akki Rotti which is a very famous Karnataka’s breakfast dish. Dill leaves are very important in their cuisine as it is locally available. The leaves have a very strong fragrant and pungent taste and is best used for savory purposes. It is added to the rice flour and flattened rice dough and patted on a cloth and then cooked over a flat tawa.,Karnataka,South Indian Breakfast,Vegetarian,"

							 		1 cup Rice flour 

							 		1 cup Poha (Flattened rice) 

							 		1 cup Dill leaves							 		, chopped							 	

							 		2 Green Chilli							 		, chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

Salt							 		, to taste 							 	
","We begin making the Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe) by soaking the flattened rice with 1/2 cup water for about 30 minutes.Then mash it, till it becomes a soft dough and add the remaining ingredients and bind it using 1/4 cup luke warm water. Knead it to a wet dough but not sticky.Cover with a damp cloth and rest for about 10 minutes.Now to prepare the roti, place a non stick tawa/skillet on the heat. Spread out a large piece of plastic, or parchment paper on your work surface.Grease your palms with oil. Pinch a big ball of dough place it in the centre of the parchment or plastic. Then gently flatten it out to form a hand-patted disc, similar to Thalipeeth.Lift the paper, along with the rotti on it and turning it over, place it on the skillet with the rotti down on the hot skillet. Carefully supporting the rotti peel off the paper. Drizzle a little bit of oil along the edges of the roti and in the centre, into the hole made on the roti and allow it to sizzle and crisp up.When it seems half cooked, flip the roti over with a spatula to cook the other side.Cook well till you have brown patches on both sides. Then, take the roti off the skillet, add a dollop of butter or ghee, and serve immediately. Serve the Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe) can be serve along with Karuveppilai Chutney Recipe (A Healthy Curry Leaves Chutney).",46,10.06698,2.48174,1.7574
Spring Onion Dosa Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pavithrahr-gmail.com/Karnataka_Style_Spring_Onion_Dosa.jpg,"Spring Onion Dosa is an aromatic and tasty dosa which is made with the addition spring onions. They are mild in taste and mostly grown in mildly cool temperature. Spring Onions lack fully developed bulbs and the entire plant is used in making salads, soups and chutney",Karnataka,South Indian Breakfast,Vegetarian,"

							 		1 cup Spring Onion (Bulb & Greens)							 		, chopped							 	

							 		1 cup Spring Onion Greens							 		, chopped							 	

							 		2 cups Dosa rice 

							 		1/2 cup Poha (Flattened rice) 

							 		2 tablespoons White Urad Dal (Split) 

							 		1 tablespoon Methi Seeds (Fenugreek Seeds) 

							 		6 Dry Red Chillies 

							 		1/4 cup Fresh coconut							 		, grated							 	

							 		2 tablespoon Jaggery							 		, grated							 	

Water							 		, as required for batter							 	

Oil							 		, to prepare dosa							 	

Salt							 		, to taste							 	
","To begin making the Spring Onion Dosa, clean dosa rice with water and soak in water for 4 hours.Soak urad dal and methi seeds separately in water for 4 hours. Clean thick poha with water and soak with little water for 15 mins.After 4 hours, take a mixer jar add half of soaked rice, urad dal, methi seeds and grind into fine paste. Pour this into a mixing vessel.Now add remaining rice, soaked poha, red chilies and grated fresh coconut in a mixer jar and grind into fine paste.Pour this ground paste into the batter bowl and mix everything properly. Add grated jaggery and mix well. Next add the finely chopped spring onion (both bulbs and greens), salt into the batter and mix well. Add water as required to prepare the medium thick batter. Heat a skillet and pour the Spring Onion dosa batter over the heated skillet.Sprinkle oil on the surface and close with a lid. Cook the dosa properly from both the sides. Serve hot with butter, ghee, and liquid jaggery.Serve Spring Onion Dosa along with Dhaniya Pudina Chutney, South Indian Coconut Chutney or any other chutney of your choice.",1496,331.48,29.66,5.2
