name,image_url,description,cuisine,course,diet,ingredients,instructions,calories,carbs,protein,fiber
Pyaz Ka Paratha,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Onion_Paratha_Stuffed_Pyaaz_Paratha_Recipe-3_1600.jpg,TheÂ Pyaz Ka Paratha Recipe is a comfort meal for days when you have nothing more than a few onions in your pantry. It makes a wholesome breakfast or even dinner when paired with chutney or pickle.,North Indian Recipes,North Indian Breakfast,Vegetarian,"
Ingredients for the dough

							 		2 cups Whole Wheat Flour 

Water							 		, to bind the dough							 	

							 		1 pinch Salt 

Ghee							 		, to cook paratha							 	
Ingredients for the onion stuffing

							 		3 Onions							 		, chopped finely							 	

							 		1 teaspoon Ajwain (Carom seeds) 

							 		1/2 teaspoon Red Chilli powder 

							 		2 Green Chillies							 		, finely chopped							 	

							 		1/4 teaspoon Cumin powder (Jeera) 

							 		1/4 teaspoon Amchur (Dry Mango Powder) 

							 		1/4 cup Mint Leaves (Pudina)							 		, finely chopped							 	

Salt							 		, to taste							 	
","To begin making the Pyaz Ka Paratha Recipe, weÂ will first knead the dough for the paratha.In aÂ large mixing bowl, add the flour and salt. Add water little at a time and knead to make a soft and smooth dough. Once all the flour has come together, drizzle a teaspoon of oil on the top of the dough and knead for another couple of minutes.Cover the dough and we will proceed to make the stuffing for the Pyaz Ka Paratha Recipe.Â To prepare the filling for the onion paratha, in a wideÂ panÂ heat oil over medium heat and add in the ajwain seeds to it.When they sizzle, add the chopped onions and toss them for a couple of minutes till onion turn soft and lightly caramelized. You don't want the onions to burn, but they should change to a golden color and be soft.Â Once done, turn the heat off and allow the onions to cool. Add the green chilies, cumin powder, chili powder, mango powder and stir.Â Add the chopped mint leaves and combine. Now the pyaz ka paratha filling is ready. Keep it aside in a bowl.Heat the roti tawaÂ over medium heat. To make the parathas, divide your parathaÂ doughÂ into 6-8 even sized balls. Begin by rolling one out into a circle of approx 2-inch diameter.Add a spoonful of the pyaz filling in the center of the disc. Bring the edges of the circle to the centre, pinch and seal gently. Lightly flatten the dough again with your palm.Lightly dust it with flour if required and gently roll it out into a circle ensuring that the stuffing stays sealed.Place the Pyaz Ka Paratha on to a hotÂ tawa and cook on both the sides until brown spots appear and the paratha is fully cooked.Smear a teaspoon of ghee or oil over the Pyaz Ka ParathaÂ and cook from both the sides till golden brown.Â Once cooked and the onion paratha is crisp golden brown, transfer to a platter and cook the remaining Onion Parathas the similar way.ServeÂ Pyaz Ka Paratha RecipeÂ along withÂ Palak Mushroom Makhani,Â Jeera PulaoÂ andÂ Dangar Pachadi With Grated Carrots Recipe (Urad Dal Raita)Â for a wholesome dinner. You can also pack withÂ Pyaz Ka ParathaÂ into a kids lunch box, along with a sauce and cup of dahi or curd rice.",1,0.40421875,0.065484375,0.060625
Oats And Coconut Dosa,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Oats_and_Coconut_Dosa_Recipe-1.jpg,"The Oats and Coconut dosa is something that I make often as an instant version of the regular dosa. A lot of times it is by mixing flours together, but sometimes I also add the Oats Flour and coconut to the regular dosa batter and make dosaâs too.",South Indian Recipes,South Indian Breakfast,Vegetarian,"

							 		1/2 cup Whole Wheat Flour 

							 		1/2 cup Rice flour 

							 		1/2 cup Oats Flour 

							 		1/4 cup Fresh coconut							 		, grated							 	

Salt							 		, to taste							 	

Jaggery							 		, jaggery to taste (optional)							 	

Oil							 		, for making dosa							 	
Optional Ingredients

							 		1 Green Chilli							 		, finely chopped							 	

							 		1 teaspoon Ginger							 		, grated							 	

							 		5 Curry leaves							 		, finely chopped							 	

							 		1/2 teaspoon Asafoetida (hing) 

							 		1/2 teaspoon Whole Black Peppercorns							 		, coarsely pounded							 	
","To begin making the Oats and Coconut Dosa recipe, combine all the ingredients except the oil into a large bowl. Add water a little at a time (about 2 cups) to make a lump free batter.Â The batter should be of pouring consistency and not very thick. It should be similar to the regular dosa batter or a pancake batter.Heat a skillet on high heat; Pour a ladleful of batter and spread the batter inside out to form a think dosa. Drizzle some oil in and around the sides and cook the oat and coconut dosa until it is steamed from all sides.Cook the dosa on both sides, until you noticed it has browned a little and has lightly crispy edges.To make it extra crispy, cook the dosa on a medium heat and preferably on an iron skillet. Iron skillets maintain heat and brings out a perfect texture to the dosa.Serve the Oats and Coconut Dosa recipe with Idli Milagai Podi and Coconut Chutney for a quick weekday breakfast",3,0.561,0.183,0.192
Mooli Paratha,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/madhulia/Stuffed_Mooli_Paratha_Indian_Radish_stuffed_flatbread.jpg,"Stuffed Mooli Paratha Recipe (Indian Radish Stuffed Flatbread) is one of the most popular flat breads relished all across India. Grated white radish along with some spices is stuffed in a whole wheat flour dough along with radish greens to make these wholesome parathas. Comforting and satisfying these stuffed parathas are a great way to include radish in your diet. Stuffed Mooli paratha can be served for breakfast or any other meal, all throughout the year. They taste great when hot but are good when cold too, hence they make for a nutritious lunch box meal.",North Indian Recipes,North Indian Breakfast,Vegetarian,"
For the stuffing:

							 		2 Mooli/ Mullangi (Radish)							 		, finely grated							 	

							 		2 teaspoon Oil 

							 		2 teaspoons Cumin seeds (Jeera) 

							 		1 teaspoon Ginger							 		, grated							 	

							 		2 teaspoons Ajwain (Carom seeds) 

							 		1-1/2 tablespoons Gram flour (besan)							 		, (optional)							 	

Coriander (Dhania) Leaves							 		, a handful, chopped							 	

							 		2 teaspoons Red Chilli powder							 		, or green chilli paste							 	

Salt							 		, to taste							 	
For the cover:

							 		2-2 Whole Wheat Flour 

Mooli Ke Patte (Radish Greens)							 		, a handful, chopped							 	

							 		1 teaspoon Salt 

Oil							 		, or ghee to smear while cooking							 	
","To begin making the Stuffed Mooli Paratha Recipe With Radish Greens, first make the stuffing.",52,8.295866667,2.682466667,3.9074
Paneer Stuffed Ragi Paratha,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Ragi_Paneer_Stuffed_Paratha_Recipe_Nutralite-5.jpg,"Paneer Stuffed Ragi Paratha Recipe, is a healthy recipe of a stuffed paratha that has a filling of protein rich paneer seasoned with simple spices, packed in a healthy dough made of whole wheat flour and ragi also known as Nachni. These parathas are cooked in ghee to give it a crisp outer layer and makes a great indian diabetic breakfast or lunch.",North Indian Recipes,North Indian Breakfast,Vegetarian,"
For Ragi Dough

							 		1 cup Ragi Flour (Finger Millet/ Nagli) 

							 		1 cup Whole Wheat Flour 

							 		1 teaspoon Salt 

							 		1 tablespoon Oil 
For Paneer Stuffing

							 		1 cup Paneer (Homemade Cottage Cheese)							 		, grated							 	

							 		2 Green Chillies							 		, finely chopped							 	

							 		1/4 cup Mint Leaves (Pudina)							 		, finely chopped							 	

							 		1 teaspoon Cumin powder (Jeera) 

Salt							 		, to taste							 	
Others

Ghee							 		, for cooking paratha							 	
","To begin making the Paneer Stuffed Ragi Paratha Recipe, we will first make the paratha dough.For the dough, in a large bowl, add in the ragi flour, whole wheat flour and required salt.Use your fingers and stir in the salt into the flour. Add water a little at a time and knead to make soft, pliable paratha dough.Knead paratha dough for a couple of minutes until the paratha dough is smooth and elastic. Use the fold press and knead motion to make the dough smooth.Next add a teaspoon of oil to coat the paratha dough and knead a little more. You want a paratha dough that will be soft smooth and not sticky. Divide the dough into equal portions.Cover the ragi paratha dough and allow it to rest until you get the filling ready. The next step is to make the Paneer filling for the Ragi ParathaIn a mixing bowl, combine the grated paneer green chillies, freshly chopped mint leaves, salt to taste, cumin powder, Using your fingers again, mix all the ingredients well.Divide the filling into equal portions.This process of dividing and keeping the portions for paratha dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.The final step is to stuff the filling into the ragi paratha dough.Dust the ragi paratha dough in flour, flatten it with your finger and place it on a flat surface. Roll them out thin to approximately 3 inches in diameter.Take a portion of paneer filling and place it in the center. Next gather the sides of the paratha dough and bring them together. Remove the little excess dough which popped out when you brought them together. Press the filled ragi paneer paratha dough down.Dust the filled paneer paratha dough in some flour and roll it gently applying just a pressure. Roll it to desired thickness and proceed the similar way with the remaining portions of paratha dough and filling.Preheat skillet on medium heat and grease it with little oil. Place the filled ragi paneer paratha. Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Spread a little oil over the paratha and keep pressing the ragi paneer stuffed parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly. Make sure you cook on medium heat as it allows the Paneer Stuffed Ragi Paratha Recipe to get a crisp on the outside and yet soft texture.Once the Paneer Stuffed Ragi Paratha Recipe is cooked transfer to a plate. Continue to the same process with the remaining parathas the same way.Serve this Paneer Stuffed Ragi Paratha Recipe along with Spring Onion and Peanut Raita Recipe and Amla Achaar Recipe for a hearty and healthy high protein breakfast or an indian diabetic breakfast or lunch.",53,11.35968,2.92392,3.1209
Mini Bajra Uttapam,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/poojanadkarni/Bajra_Onion_Uttapam_Recipe_4_1600.jpg,Mini Bajra Uttapam Recipe is essentially a millet based Uttapam batter that is made by combining bajra or pearl millets with urad dal and rice. ,South Indian Recipes,South Indian Breakfast,Vegetarian,"
For the Bajra uttapam

							 		1/2 cup Bajra (seeds) 

							 		1/2 cup Idli Rice 

							 		1 cup White Urad Dal (Whole) 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 tablespoon Salt 
For the topping

							 		1 Onion							 		, finely chopped							 	

							 		1 Green Bell Pepper (Capsicum)							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

Salt							 		, to taste							 	

							 		6 sprig Mint Leaves (Pudina)							 		, finely chopped							 	

							 		1 teaspoon Cumin powder (Jeera) 

Ghee							 		, to cook the uttapam							 	
","To begin making the Mini Bajra Uttapam Recipe, we will first make the batter. *To make the Bajra Uttapam Batter:Firstly, wash the urad dal and methi seeds together and soak it together in a bowl, immersed in water. Next combine the idli rice and bajra seeds, wash them well and soak them in a bowl, immersed in water. Keep them all soaked for about 6 hours. Next, add the soaked and drained urad dal and methi seeds, into a mixer jar along with some water and grind to make a smooth batter. Transfer the urad dal batter to a large bowl and set aside. Add the soaked and drained rice and bajra mixture into the mixer jar along with some water and grind it to make a smooth batter. Combine this idli-bajra batter, along with the urad dal batter and mix well. To this bajra uttapam batter add salt, mix well to combine, and allow it to ferment overnight. Once it has fermented overnight it, you can make Idli the first day and even dosa and uttapams with this batter.The next step is to make the topping for the Bajra uttapam:In a mixing bowl, combine the onions, capsicum, green chilli, mint leaves salt and cumin powder and mix well. Preheat a tawa on medium-high heat; once hot, gently spread 1 ladleful of the bajra uttapam batter, in a circular motion, ensuring the uthappam is thick like a pancake.Spread a tablespoon of the onion-capsicum topping over the mini Bajra Uttapam and lightly press, embedding it onto the uttapam. Drizzle a little ghee around the Uttapam and after a couple of minutes, flip the bajra uttapam, to cook on the other side. Once you've achieved a lovely golden brown colour on both sides, remove the Bajra Uttapam from the tawa and serve. Similarly make the Bajra Uttapam using the rest of the batter. You can store this batter in an airtight container in the refrigerator for about 4 days.Serve Mini Bajra Uttapam Recipe along with Raw Mango Coconut Chutney Recipe, Idli Dosa Milagai Podi Recipe and finish with a cup of Kumbakonam Filter Coffee Recipe for a lip smacking breakfast.",53,11.59020444,2.668684444,3.688411111
Lauki & Moong Dal Cheela,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Preeti_Tamilarasan/Lauki_Cheela_Recipe.jpg,Lauki And Whole Green Moong Dal Cheela Recipe is a healthy and protein rich Cheela / Dosa recipe. It is gluten free and vegan. Nutritious bottle gourd combined with high protein whole green moong dal makes a protein rich and high fiber much-needed breakfast for vegetarians.,Indian,North Indian Breakfast,Vegetarian,"

							 		1 cup Green Moong Dal (Whole) 

							 		1 tablespoon Rice flour 

							 		1/2 cup Bottle gourd (lauki)							 		, grated							 	

							 		2 Green Chillies							 		, chopped							 	

							 		1 inch Ginger							 		, chopped							 	

							 		1 tablespoon Coriander (Dhania) Leaves							 		, finely chopped							 	

Asafoetida (hing)							 		, a pinch							 	

Salt 

							 		2 teaspoons Oil 

Water							 		, as required							 	
","To begin making Lauki And Whole Green Moong Dal Cheela Recipe, soak whole green gram for 5 hours. Wash and drain green gram. You can now proceed to prepare the batter for the cheela.To prepare the cheela batter, blend soaked green gram, ginger and chilies in a mixer to a smooth batter adding enough water.The batter should have a consistency thicker than a dosa batter as the addition off lauki will in turn add more water to the batter. Transfer the batter to a mixing bowl.At this stage, grate the lauki and add to the batter. Add chopped coriander leaves, salt, rice flour and hing. Add water if needed and prepare batter just like that of a dosa batter consistency.Heat a Tava or frying pan. Take a ladle full of batter and pour over the Tava. Spread the batter in circular motion from inside out. Pour a teaspoon of oil / ghee all over the sides of cheela and cook till it turns golden brown on both the sides. Similarly, prepare rest of the cheelas.Serve Lauki and Whole Green Moong Dal Cheela Recipe with Red Chilli Coconut Chutney Recipe (South Indian Chutney), or Sweet and Spicy Tomato Chutney Recipe for breakfast. You can also serve a cup of Masala Chai with it.",79,17.375,3.623,6.349
Lauki Thepla,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Lauki_Thepla.jpg,"Lauki Thepla or Doodhi Thepla is a healthy and delicious flat bread which can be packed in kids' tiffin boxes or had for breakfast or dinner. These can also be made and carried while travelling.Â I have added gram flour in this recipe, you may not add it and add only wheat flour. Remember not to add water as bottle gourd contains lots of water itself.",North Indian Recipes,North Indian Breakfast,Vegetarian,"

							 		1-1/2 cups Whole Wheat Flour 

							 		1/2 cup Gram flour (besan) 

							 		1 cup Bottle gourd (lauki)							 		, peeled and grated							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		2 tablespoon Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		1 inch Ginger							 		, peeled and crushed into paste							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		2 teaspoons Red Chilli powder 

							 		1 teaspoon Garam masala powder 

							 		2 tablespoons Hung Curd (Greek Yogurt) 

							 		2 tablespoons Ghee 

Salt							 		, to taste							 	
","To begin making the Lauki Thepla Recipe, in a mixing bowl, add wheat flour, gram flour, turmeric powder, red chili powder, chopped green chili, ginger paste, garam masala, salt to taste and grated lauki.Mix everything with your fingers. Keep on mixing till a firm dough is formed.Add curd only if needed. Normally bottlegourd releases water. But if the dough becomes too dry, add curd little at a time and make firm dough.Do not let the dough rest as the bottle gourd in it will release water and make the dough sticky.Make balls of equal size. Dust the rolling board with flour. Flatten the dough balls and roll it into thin theplas. Do not make them thick.Heat a tawa, spread 1 teaspoon ghee. Fry the thepla by applying ghee on both sides. When the theplas turn brownish they are done.To keep theplas soft, apply more ghee/oil to the theplas.Â ServeÂ Lauki TheplaÂ along withÂ Aam Ka AchaarÂ andÂ Filter CoffeeÂ for your weekday breakfast.",86,18.595,3.9532,9.4115
Barley Rava Idli,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Preeti_Tamilarasan/Barley_Rava_Idli.jpg,Barley Rava Idli is a healthy breakfast/dinner recipe which doesnât require any fermentation.,South Indian Recipes,South Indian Breakfast,Vegetarian,"

							 		1/2 cup Sooji (Semolina/ Rava) 

							 		1/2 cup Barley (seeds) 

							 		1/2 cup Curd (Dahi / Yogurt)							 		, whisked							 	

							 		1 teaspoon Enos Fruit Salt 

							 		1 Green Chilli							 		, finely chopped							 	

							 		1/4 cup Water							 		, or more if needed							 	

Salt							 		, to taste							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1 teaspoon Chana dal (Bengal Gram Dal) 

							 		1 teaspoon Oil 
","To begin making Barley Rava Idli recipe, washa n soak barley in water, overnight.Next day, drain the water completely and grind barley to a smooth paste adding a little water. Once it is done, transfer it to a bowlÂ and set aside.Â HeatÂ  oil in a tadka panÂ on medium flame and add mustard seeds, urad dal and chana dal. Allow them to turn into a nice golden brown in colour, this will take 2-3 minutesÂ Next, add the chopped chili and sautÃ© it for 30 seconds.At this stage, add the semolina in the same pan and roast it for 3-4 minutes.Â TurnÂ  off the flame and allow it cool.Â In a mixing bowl, combine the semolina mixture, barley paste and curd and give it a good mix.Â Add 1/4 cup of water, salt and enos fruit salt, mixing it well and adjust the consistency of theÂ Barley Rava Idli batter, to a thick dropping consistency.To steam the idlis, fill idli steamer with required level of water and preheat it.Grease idli plates with a little oil, and drop ladle full ofÂ Barley Rava Idli batter into each of the cavities.Â Place the idli plates in the steamer, cover and steam for 10 minutes.Â After 10 minutes, insert a toothpick, if it comes out clean, remove the idli plate and demould the idlis. If not continue to steam for a few more minutes.Â Serve thisÂ Barley Rava IdliÂ Recipe along withÂ Horsegram Sesame Chutney RecipeÂ andÂ Murungakkai Vendhaya Keerai Sambar RecipeÂ for a completely healthy breakfast, which can also beÂ served to diabetics.Â ",89,8.5485,5.4,0.8360625
Ragi & Oats Uttapam,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Vegetable_Oats_Uttapam_Fit_Foodie_Recipe-1.jpg,The Vegetable Ragi & Oats Uttapam Recipe is a twist to the original recipe of a traditional Uttapam. The addition of oats and lots of vegetables makes this Uttapam wholesome making it a great tiffin dish. It is a diabetic friendly recipe as it uses wholesome oats and brown rice instead of white rice.,South Indian Recipes,South Indian Breakfast,Vegetarian,"
Ingredients for Dosa Batter

							 		1/2 cup White Urad Dal (Whole) 

							 		80 grams Rolled Oats Or Instant Oats 

							 		1 cup Brown Rice 

							 		1/2 cup Ragi Seeds 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 
Ingredients forÂ Vegetable Ragi & Oats Uttapam Recipe

							 		1 cup Oats dosa batter 

							 		1 Red Bell pepper (Capsicum)							 		, finely chopped							 	

							 		2 Carrots (Gajjar)							 		, grated							 	

							 		1 Tomato							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

Oil							 		, as required							 	
",To begin making theÂ Vegetable Ragi & Oats Uttapam Recipe we will first make the oats dosa batter.,90,20.7293,3.117,5.567
Masala Jowar Bhakri,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/umar/Masala_Jowar_Bhakri.jpg,"Masala Jowar Bhakri Recipe is made from Jowar, a millet variety that is gluten free. Jowar Bhakri is a traditional breakfast that is popular in Maharashtra and parts of Karnataka. It is popularly called farmer's breakfast. The Bhakri dough is shaped using hand which requires little skill and practice.Â Instead of shaping the bhakri directly on the tava, you can grease a banana leaf or parchment paper and shape them. Invert the dough side on to the hot tawa and slowly remove the banana leaf/parchment paper.",Maharashtrian Recipes,North Indian Breakfast,Vegetarian,"

							 		1 cup Jowar Flour (Sorghum) 

							 		1 Onion							 		, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

Coriander (Dhania) Leaves							 		, a handful, finely chopped							 	

							 		1 sprig Curry leaves							 		, finely chopped							 	

							 		1 teaspoon Sesame seeds (Til seeds) 

							 		1/2 teaspoon Ajwain (Carom seeds) 

							 		2 teaspoons Oil 

Salt							 		, to taste							 	
","To begin making Masala Jowar Bhakri Recipe, in a large mixing bowl, add the jowar flour, salt and mix well.Add the chopped onions, green chillies, coriander leaves, and curry leaves to the bowl and mix well.Pour warm water little by little to make a smooth and soft dough. Divide the dough into equal size balls.Grease a tava with oil and heat.Take one ball and place it on the greased tava.Wet your fingers and spread the dough to make a bhakri.Place the tawa on medium heat and drizzle oil on the sides of the bhakri.Once the bhakri starts to brown on the sides, flip them.You can cover and cook the other side for another 2-3 minutes.Remove the bhakri from the tawa and hold the back of the tawa under running water to cool it down.Once the tava is cool, grease and repeat the above process for the remaining dough.Healthy, nutritious and wholesome Masala Jowar Bhakri is ready to be served.Serve with Hurali Kalu Chutney Recipe, Paruppu Thogayal Recipe or a tangy gravy like Senai Kizhangu Ghostu Recipe.",96,21.9011,3.4596,5.4046
